video_id,ia_principal,ia_secondaire,ia_confiance,ia_tonalite,ia_registre,ia_presence_solutions,ia_justification
hl-b9buPtKc,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.72,moquerie,opinion,False,"Le titre posant le réchauffement climatique comme une potentielle arnaque, escroquerie ou canular, couplé au positionnement idéologique de la chaîne Peak Prosperity (survivalisme, or, méfiance institutionnelle) et à l'absence de transcript permettant de vérifier un éventuel retournement critique, oriente fortement vers une remise en cause du consensus scientifique ou de la gravité du changement climatique, même si la confiance reste modérée faute de transcript."
xbFjWNwQNe4,CRITIQUE_INACTION,URGENCE_MOBILISATION,0.72,colère,opinion,False,"Le titre « Ce n'est pas l'écologie qui est punitive » est une réponse rhétorique directe au discours d'OPPOSITION_ECOLOGIE, sous-entendant que c'est le dérèglement climatique (illustré par l'incendie de l'Aude) qui est punitif, et non les politiques écologiques — positionnement qui accepte la science et retourne l'argument contre ceux qui freinent l'action climatique."
r0YSJPHJlr0,SOLUTIONS_TECHNO,SCIENCE_PEDAGOGIE,0.82,optimisme,information,True,"La vidéo se concentre sur le déploiement mondial de l'éolien et du solaire, leur montée en puissance économique et géopolitique, avec un registre cartographique et pédagogique typique du Dessous des Cartes, positionnant les énergies renouvelables comme réponse concrète au dérèglement climatique."
0jfF65uAChI,SCEPTICISME_MINIMISATION,,0.52,moquerie,opinion,False,"Le titre affirme directement que le réchauffement climatique est une arnaque, ce qui pointe vers SCEPTICISME_MINIMISATION, mais l'absence de transcript et de description empêche de confirmer si la vidéo porte réellement cette position ou la retourne de façon ironique/critique, d'où une confiance modérée."
JekFeAxJYr4,OPPOSITION_ECOLOGIE,,0.91,colère,opinion,False,"La vidéo dénonce explicitement l'« écologie punitive » et une surtransposition réglementaire française jugée destructrice pour les agriculteurs, sans remettre en cause la science climatique mais en s'opposant frontalement aux politiques environnementales contraignantes."
duhV0bw49_c,CRITIQUE_INACTION,SCIENCE_PEDAGOGIE,0.52,neutre,opinion,True,"Jancovici intervient sur BFMTV en position critique face aux questions d'Apolline de Malherbe, abordant les inégalités d'accès à la climatisation et les limites des solutions individuelles, ce qui reflète davantage une posture de dénonciation des contradictions systémiques que de simple pédagogie, bien que l'extrait disponible soit trop court pour une classification pleinement assurée."
cI0wdEwF2_o,OPPOSITION_ECOLOGIE,SCEPTICISME_MINIMISATION,0.78,moquerie,divertissement,False,"La vidéo est un sketch comique qui tourne en dérision les contraintes écologiques (ZFE, écotaxes, culpabilisation des 'prolos') tout en pointant l'hypocrisie des élites sur la consommation des data centers IA, relevant principalement de l'opposition aux politiques écologiques jugées punitives et inégales, avec une touche de minimisation implicite du réchauffement climatique via le titre ironique."
WkIt1a6AQ_8,CRITIQUE_INACTION,OPPOSITION_ECOLOGIE,0.62,colère,opinion,False,"La vidéo dénonce le greenwashing politique de Reform UK et de Farage, accusés de recruter un conseiller climatique pour tromper les électeurs sans réelle intention d'agir sur le climat, ce qui relève d'une critique de l'inaction et de la duplicité, bien que la vidéo soit en anglais et que le lien avec le contenu francophone soit absent, ce qui réduit la confiance."
eE4gEF-qEBs,SOLUTIONS_TECHNO,CRITIQUE_POLITIQUE_ECOLO,0.72,neutre,information,True,"La vidéo présente un débat d'experts (Jancovici / Gollier) centré sur les outils de transition énergétique — planification vs signal-prix carbone, substitution des systèmes de chauffage, organisation de l'économie — avec une dimension critique sur la faisabilité et l'équité des politiques climatiques (régression sociale, gilets jaunes), ce qui constitue son intention dominante."
-VLk0KbMvQ4,OPPOSITION_ECOLOGIE,,0.98,colère,opinion,False,"Vidéo de Jordan Bardella (RN) qui s'oppose frontalement aux ZFE comme politique écologique jugée punitive, antisociale et liberticide, sans contester la science climatique mais en rejetant les contraintes réglementaires imposées aux automobilistes."
FrzZvtnxoF8,ANXIETE_EFFONDREMENT,SCIENCE_PEDAGOGIE,0.72,anxiété,information,False,"Le format court met en avant une projection climatique extrême (50°C à Paris en 2050) dans un registre anxiogène centré sur l'ampleur du danger futur, sans proposer de solutions ni cadre pédagogique neutre, même si des données factuelles sont mobilisées en appui."
EzQ3enkH5VU,URGENCE_MOBILISATION,SCIENCE_PEDAGOGIE,0.72,urgence,information,True,"Le documentaire alerte sur la vulnérabilité croissante des mégalopoles côtières face aux inondations aggravées par le changement climatique, en insistant sur la nécessité d'agir avant les prochaines catastrophes, tout en mobilisant des données scientifiques et des cas concrets pour étayer ce message d'urgence."
2jSD_uJhz4k,SOLUTIONS_TECHNO,SCIENCE_PEDAGOGIE,0.72,neutre,information,True,"La vidéo porte essentiellement sur la manière de mettre en œuvre la transition écologique dans le système de santé (passage du curatif au préventif, sobriété des mobilités), avec un ancrage pédagogique sur les données chiffrées (objectif net zéro 2050, étude Carbone 4), sans registre alarmiste ni conflictualité politique."
55stCqVHTeM,SCIENCE_PEDAGOGIE,CRITIQUE_POLITIQUE_ECOLO,0.78,neutre,divertissement,False,"La vidéo, sous forme de sketch humoristique, explique pédagogiquement la distinction entre météo et climat pour réfuter l'argument sceptique classique 'vague de froid = pas de réchauffement', tout en moquant légèrement les climatosceptiques sans que ce soit le propos central."
p0aZ_zw4h4w,OPPOSITION_ECOLOGIE,SCIENCE_PEDAGOGIE,0.52,neutre,information,True,"Le titre cadre le débat comme une critique des propositions écologistes jugées hostiles au travail, mais le contenu du transcript est majoritairement un débat de santé publique (conseils canicule, pompiers, médecins) sans véritable développement de la thèse anti-écologie, ce qui affaiblit la confiance dans la classification."
rYdFcVDFPFA,CRITIQUE_INACTION,SCEPTICISME_MINIMISATION,0.82,moquerie,opinion,False,"La vidéo du HuffPost documente avec ironie l'indifférence voire le scepticisme des militants LR face à la canicule, dénonçant implicitement l'inaction climatique de la droite plutôt que de porter elle-même un message sceptique ; le narratif secondaire reflète les propos minimisateurs des militants interviewés, présentés comme repoussoirs."
A5Yajf0YTKk,CRITIQUE_INACTION,SCIENCE_PEDAGOGIE,0.72,neutre,information,False,"Fressoz, historien des sciences, déconstruit le mythe de la 'transition énergétique' en montrant que les énergies s'accumulent sans jamais se remplacer, ce qui constitue une critique structurelle de la croyance en une sortie progressive des fossiles et implicitement une dénonciation de l'illusion politique et industrielle du 'capitalisme vert', tout en s'appuyant sur une démarche rigoureusement factuelle et historique."
WIJyTAMQBCI,CRITIQUE_INACTION,URGENCE_MOBILISATION,0.55,urgence,opinion,False,"La vidéo dénonce le retrait américain de l'Accord de Paris et la relance des investissements dans les fossiles comme une politique irresponsable aggravant la crise climatique, ce qui relève de la critique de l'inaction gouvernementale — bien que le contenu soit en portugais et non en français, ce qui abaisse la confiance."
M13H1i6XZcE,SCIENCE_PEDAGOGIE,CRITIQUE_INACTION,0.72,neutre,information,False,"La vidéo mène une enquête documentée et sourcée pour expliquer les mécanismes sociaux, politiques et médiatiques qui propagent le climatoscepticisme en France, en s'appuyant sur des sondages, des études scientifiques et des interviews d'experts (auteur du GIEC), sans promouvoir elle-même le doute climatique — elle le réfute et l'analyse ; une dimension secondaire de critique de l'inaction médiatique et politique est présente."
pFXbAz0mWnc,URGENCE_MOBILISATION,ANXIETE_EFFONDREMENT,0.72,urgence,opinion,False,"Barrau utilise le titre provocateur 'Ce n'est pas une crise climatique' non pour minimiser la crise environnementale mais pour l'amplifier : il dénonce une terminologie réductrice en montrant que l'effondrement du vivant (insectes, mammifères, arbres) dépasse le seul cadre climatique, appelant ainsi à une mobilisation encore plus large et urgente."
3cNI5b6ZwJk,SCIENCE_PEDAGOGIE,URGENCE_MOBILISATION,0.72,urgence,information,False,"Jancovici déploie un exposé scientifique structuré et factuel (mécanismes du CO2, budget carbone, données GIEC, comparaisons paléoclimatiques) avec un registre pédagogique dominant, mais la tonalité d'urgence et les projections catastrophistes (guerre, chaos, effondrement du pouvoir d'achat) confèrent à la vidéo une forte dimension de mobilisation en narratif secondaire."
nz_hr-oc8fc,SCIENCE_PEDAGOGIE,URGENCE_MOBILISATION,0.55,neutre,information,False,"L'émission 'La Terre au carré' de France Inter adopte un registre pédagogique et informatif pour explorer les impacts scientifiques et sociétaux du dérèglement climatique à l'horizon 2050, avec une tonalité de fond orientée vers la prise de conscience sans être alarmiste."
quvKIUXIwuI,SCEPTICISME_MINIMISATION,CRITIQUE_POLITIQUE_ECOLO,0.91,colère,opinion,False,"La vidéo donne longuement la parole à Philippe Herlin qui défend et réaffirme ses propos climatosceptiques originaux (le réchauffement anthropique qualifié d'escroquerie, de mensonge, de totalitarisme, remise en cause du consensus scientifique), le tout présenté sous un angle victimaire contre la sanction de l'Arcom, ce qui constitue une promotion effective du scepticisme climatique par la vidéo elle-même."
